start_id,end_id,start_name,end_name,start_coordinate,end_coordinate,route,linear_distance,route,distance,trip duration,distance_value(km),time_value(min)
66,69,師範大學公館校區,興豐公園,"25.007528,121.537188","24.999837,121.547778",途經汀州路四段,1.3669861202199585,途經汀州路四段,2.2 公里,8 分,2.2,8.0
66,94,師範大學公館校區,捷運景美站,"25.007528,121.537188","24.993254,121.541059",途經汀洲路四段和景福街,1.628745540284632,途經汀洲路四段和景福街,2.0 公里,7 分,2.0,7.0
66,98,師範大學公館校區,羅斯福景隆街口,"25.007528,121.537188","24.999378,121.540197",途經汀州路四段,0.9525287891630767,途經汀州路四段,1.5 公里,6 分,1.5,6.0
66,104,師範大學公館校區,台北花木批發市場,"25.007528,121.537188","25.004023,121.54074",途經汀州路四段,0.5284969887272768,途經汀州路四段,1.3 公里,5 分,1.3,5.0
66,141,師範大學公館校區,文山行政中心,"25.007528,121.537188","24.989902,121.569984",途經汀洲路四段,3.8436365783056554,途經汀洲路四段,9.1 公里,28 分,9.1,28.0
66,142,師範大學公館校區,捷運木柵站,"25.007528,121.537188","24.997996,121.57444",途經汀洲路四段,3.905934455588813,途經汀洲路四段,9.6 公里,28 分,9.6,28.0
66,143,師範大學公館校區,捷運動物園站(2號出口),"25.007528,121.537188","24.997659,121.578752",途經新光路二段,4.335882304561805,途經新光路二段,10.0 公里,31 分,10.0,31.0
66,144,師範大學公館校區,國立政治大學,"25.007528,121.537188","24.988363,121.576536",途經汀州路四段和汀洲路四段,4.503969140534476,途經汀州路四段和汀洲路四段,9.4 公里,29 分,9.4,29.0
66,151,師範大學公館校區,考試院,"25.007528,121.537188","24.987507,121.549827",途經汀洲路四段,2.558626483284296,途經汀洲路四段,4.5 公里,14 分,4.5,14.0
66,166,師範大學公館校區,臺北市立景美女中,"25.007528,121.537188","24.980602,121.556177",途經汀洲路四段,3.545606746591444,途經汀洲路四段,6.6 公里,20 分,6.6,20.0
66,171,師範大學公館校區,文山運動中心,"25.007528,121.537188","24.996842,121.559651",途經汀州路四段,2.5579697817332248,途經汀州路四段,3.7 公里,15 分,3.7,15.0
66,205,師範大學公館校區,木柵光輝路口,"25.007528,121.537188","24.988241,121.55561",途經汀洲路四段,2.8325151184152264,途經汀洲路四段,5.0 公里,15 分,5.0,15.0
66,206,師範大學公館校區,捷運辛亥站,"25.007528,121.537188","25.005386,121.55716",途經辛亥路四段,2.0299845538793684,途經辛亥路四段,3.9 公里,14 分,3.9,14.0
66,228,師範大學公館校區,捷運萬芳社區站,"25.007528,121.537188","24.998811,121.56789",途經萬芳路,3.2462282059259855,途經萬芳路,4.6 公里,18 分,4.6,18.0
66,247,師範大學公館校區,木柵公園,"25.007528,121.537188","24.987144,121.560627",途經106縣道,3.270708394273443,途經106縣道,5.7 公里,18 分,5.7,18.0
66,262,師範大學公館校區,永安藝文館-表演36房,"25.007528,121.537188","24.984144,121.569064",途經汀洲路四段,4.131004335025701,途經汀洲路四段,8.0 公里,24 分,8.0,24.0
66,272,師範大學公館校區,忠順區民活動中心,"25.007528,121.537188","24.984707,121.563125",途經汀洲路四段,3.639596498654895,途經汀洲路四段,7.5 公里,23 分,7.5,23.0
66,296,師範大學公館校區,萬和二號公園,"25.007528,121.537188","25.001545,121.536446",途經汀州路四段和汀洲路四段/溪洲街,0.666973745872243,途經汀州路四段和汀洲路四段/溪洲街,800 公尺,3 分,0.8,3.0
66,315,師範大學公館校區,捷運萬隆站(1號出口),"25.007528,121.537188","25.001447,121.539037",途經汀州路四段,0.6989914672070701,途經汀州路四段,1.0 公里,4 分,1.0,4.0
66,335,師範大學公館校區,景文中學,"25.007528,121.537188","24.986301,121.567855",途經汀洲路四段,3.8876273417633644,途經汀洲路四段,7.8 公里,24 分,7.8,24.0
66,369,師範大學公館校區,世新大學,"25.007528,121.537188","24.98862,121.54361",途經汀洲路四段,2.1925349763157573,途經汀洲路四段,2.9 公里,9 分,2.9,9.0
66,383,師範大學公館校區,一壽橋,"25.007528,121.537188","24.97848,121.55545",途經汀洲路四段,3.7084815439811534,途經汀洲路四段,6.5 公里,19 分,6.5,19.0
