coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.97848,121.55545/24.9856,121.54531",途經樟新街,3.4 公里,10 分,3.4,10
"24.97848,121.55545/24.995563,121.547092",途經台9線,3.9 公里,15 分,3.9,15
"24.97848,121.55545/24.995563,121.547092",途經景興路,5.3 公里,17 分,5.3,17
"24.97848,121.55545/24.995563,121.547092",途經興隆路三段,5.0 公里,20 分,5.0,20
"24.97848,121.55545/24.9966,121.540295",途經台9線,3.5 公里,15 分,3.5,15
"24.97848,121.55545/24.9966,121.540295",途經景文街,5.0 公里,16 分,5.0,16
"24.980602,121.556177/24.97848,121.55545",途經一壽街,400 公尺,1 分,0.4,1
"24.980602,121.556177/24.97848,121.55545",途經一壽街20巷,350 公尺,1 分,0.35,1
"24.980602,121.556177/24.984144,121.569064",途經木新路三段和木新路二段,1.4 公里,4 分,1.4,4
"24.980602,121.556177/24.984144,121.569064",途經木新路二段,1.5 公里,5 分,1.5,5
"24.980602,121.556177/24.984707,121.563125",途經木新路三段,1.1 公里,5 分,1.1,5
"24.980602,121.556177/24.984707,121.563125",途經木新路三段和忠順街一段26巷,1.1 公里,5 分,1.1,5
"24.980602,121.556177/24.984707,121.563125",途經木新路三段和興隆路四段,1.1 公里,4 分,1.1,4
"24.980602,121.556177/24.9856,121.54531",途經木新路三段,4.7 公里,13 分,4.7,13
"24.980602,121.556177/24.9856,121.54531",途經樟新街8巷,3.5 公里,10 分,3.5,10
"24.980602,121.556177/24.9856,121.54531",途經辛亥路七段,2.5 公里,8 分,2.5,8
"24.980602,121.556177/24.986301,121.567855",途經保儀路,1.6 公里,5 分,1.6,5
"24.980602,121.556177/24.986301,121.567855",途經木新路三段和保儀路,1.4 公里,5 分,1.4,5
"24.980602,121.556177/24.986301,121.567855",途經木新路三段和忠順街二段,1.7 公里,6 分,1.7,6
"24.980602,121.556177/24.987144,121.560627",途經木新路三段和興隆路四段,1.3 公里,5 分,1.3,5
"24.980602,121.556177/24.987144,121.560627",途經辛亥路七段,1.6 公里,7 分,1.6,7
"24.980602,121.556177/24.987144,121.560627",途經辛亥路七段和106縣道,2.1 公里,8 分,2.1,8
"24.980602,121.556177/24.988241,121.55561",途經木新路三段310巷,1.3 公里,6 分,1.3,6
"24.980602,121.556177/24.988241,121.55561",途經辛亥路七段,1.5 公里,5 分,1.5,5
"24.980602,121.556177/24.988241,121.55561",途經辛亥路七段和光輝路,1.3 公里,5 分,1.3,5
"24.980602,121.556177/24.98862,121.54361",途經寶元路一段,2.6 公里,10 分,2.6,10
"24.980602,121.556177/24.98862,121.54361",途經樟新街8巷,3.8 公里,12 分,3.8,12
"24.980602,121.556177/24.98862,121.54361",途經辛亥路七段和木柵路一段,2.1 公里,7 分,2.1,7
"24.980602,121.556177/24.995563,121.547092",途經台9線,3.8 公里,13 分,3.8,13
"24.980602,121.556177/24.995563,121.547092",途經景興路,5.4 公里,17 分,5.4,17
"24.980602,121.556177/24.995563,121.547092",途經辛亥路七段,3.9 公里,13 分,3.9,13
"24.980602,121.556177/24.9966,121.540295",途經台9線,3.5 公里,12 分,3.5,12
"24.980602,121.556177/24.9966,121.540295",途經景文街,5.1 公里,17 分,5.1,17
"24.980602,121.556177/24.996842,121.559651",途經木新路三段、興隆路四段和興隆路三段,2.4 公里,10 分,2.4,10
"24.980602,121.556177/24.996842,121.559651",途經辛亥路七段和106縣道,2.9 公里,10 分,2.9,10
"24.980602,121.556177/24.998811,121.56789",途經木新路三段,4.0 公里,13 分,4.0,13
"24.980602,121.556177/24.998811,121.56789",途經萬芳路,3.8 公里,12 分,3.8,12
"24.980602,121.556177/24.998811,121.56789",途經辛亥路七段,3.7 公里,12 分,3.7,12
"24.980602,121.556177/25.001447,121.539037",途經寶元路一段,5.5 公里,19 分,5.5,19
"24.980602,121.556177/25.001447,121.539037",途經羅斯福路五段218巷,6.4 公里,20 分,6.4,20
"24.980602,121.556177/25.001447,121.539037",途經辛亥路七段,4.9 公里,17 分,4.9,17
"24.980602,121.556177/25.001545,121.536446",途經寶元路一段,5.1 公里,18 分,5.1,18
"24.980602,121.556177/25.001545,121.536446",途經樟新街8巷,6.0 公里,19 分,6.0,19
"24.980602,121.556177/25.001545,121.536446",途經辛亥路七段,4.5 公里,15 分,4.5,15
"24.980602,121.556177/25.005386,121.55716",途經興隆路三段,4.3 公里,15 分,4.3,15
"24.980602,121.556177/25.005386,121.55716",途經興隆路四段和興隆路三段,3.8 公里,14 分,3.8,14
"24.980602,121.556177/25.005386,121.55716",途經辛亥路七段,3.4 公里,13 分,3.4,13
"24.984144,121.569064/24.97848,121.55545",途經木新路二段,1.7 公里,5 分,1.7,5
"24.984144,121.569064/24.97848,121.55545",途經木新路二段111巷,2.1 公里,6 分,2.1,6
"24.984144,121.569064/24.97848,121.55545",途經樟新街,2.9 公里,9 分,2.9,9
"24.984144,121.569064/24.984707,121.563125",途經忠順街二段,700 公尺,3 分,0.7,3
"24.984144,121.569064/24.984707,121.563125",途經木新路二段,850 公尺,3 分,0.85,3
"24.984144,121.569064/24.984707,121.563125",途經木新路二段和中崙路,850 公尺,3 分,0.85,3
"24.984144,121.569064/24.9856,121.54531",途經木新路二段111巷,4.9 公里,14 分,4.9,14
"24.984144,121.569064/24.986301,121.567855",途經保儀路109巷,500 公尺,2 分,0.5,2
"24.984144,121.569064/24.986301,121.567855",途經木新路二段218巷和保儀路,500 公尺,2 分,0.5,2
"24.984144,121.569064/24.986301,121.567855",途經木新路二段和保儀路,650 公尺,2 分,0.65,2
"24.984144,121.569064/24.98862,121.54361",途經106縣道,3.4 公里,12 分,3.4,12
"24.984144,121.569064/24.98862,121.54361",途經木新路三段、辛亥路七段和木柵路一段,3.5 公里,11 分,3.5,11
"24.984144,121.569064/24.98862,121.54361",途經木新路二段111巷,5.2 公里,16 分,5.2,16
"24.984144,121.569064/24.995563,121.547092",途經景興路,6.8 公里,21 分,6.8,21
"24.984144,121.569064/24.995563,121.547092",途經興隆路三段,4.5 公里,17 分,4.5,17
"24.984144,121.569064/24.995563,121.547092",途經萬芳路,5.5 公里,19 分,5.5,19
"24.984144,121.569064/24.9966,121.540295",途經台9線,4.8 公里,17 分,4.8,17
"24.984144,121.569064/24.9966,121.540295",途經景文街,6.5 公里,21 分,6.5,21
"24.984144,121.569064/25.001447,121.539037",途經106縣道,6.1 公里,22 分,6.1,22
"24.984144,121.569064/25.001447,121.539037",途經木新路三段,6.2 公里,21 分,6.2,21
