start_id,end_id,start_coordinate,end_coordinate,linear_distance,spearman,p-value,spearman_abs
2,255,"25.041254,121.55742","25.046914,121.557674",0.6275019822426473,-0.23528384952785866,2.314960099932579e-05,0.23528384952785866
3,6,"25.0377972222,121.565169444","25.034047,121.565973",0.4232662941158088,0.244942287973529,1.0278762047184026e-05,0.244942287973529
3,276,"25.0377972222,121.565169444","25.028679,121.559320",1.1699224444475789,-0.2766455323586819,5.613086128689217e-07,0.2766455323586819
4,8,"25.0360361111,121.562325","25.0352138889,121.563688889",0.165050828385304,0.22939617623414052,3.735412639976231e-05,0.22939617623414052
4,276,"25.0360361111,121.562325","25.028679,121.559320",0.8695719443758301,-0.2372275734121893,1.971332539419169e-05,0.2372275734121893
5,333,"25.0365638889,121.5686639","25.047428,121.561182",1.420701745971554,-0.256279534138533,3.794581942742342e-06,0.256279534138533
6,10,"25.034047,121.565973","25.0286611111,121.566116667",0.596789138500494,-0.2277625716972897,4.2564142456764586e-05,0.2277625716972897
6,25,"25.034047,121.565973","25.04543,121.57205",1.402163884197843,-0.2240558345178442,5.704148189114511e-05,0.2240558345178442
6,276,"25.034047,121.565973","25.028679,121.559320",0.8969013563973186,-0.267075531763526,1.4051502235389045e-06,0.267075531763526
8,11,"25.0352138889,121.563688889","25.034937,121.55762",0.6132483653381273,-0.2413530642735345,1.3953603981590356e-05,0.2413530642735345
9,88,"25.031785, 121.57448","25.032922, 121.57087",0.3854902598601374,-0.2273256891900708,4.406961354585684e-05,0.2273256891900708
10,75,"25.0286611111,121.566116667","25.0300508,121.557635",0.8697531074363393,0.2276981915103106,4.2782900439113996e-05,0.2276981915103106
10,163,"25.0286611111,121.566116667","25.018097,121.559279",1.3585651918713328,0.2332922333994955,2.725435489094631e-05,0.2332922333994955
13,337,"25.03809,121.58367","25.053010,121.575920",1.8284406736891743,0.22607377837079703,4.866687029947912e-05,0.22607377837079703
13,343,"25.03809,121.58367","25.049040,121.587550",1.2746005906995177,0.20439449078519267,0.00024877824673826075,0.20439449078519267
16,93,"25.036084,121.579135","25.023877,121.569836",1.6459852398277568,0.20573083770690237,0.00022603205013639418,0.20573083770690237
16,343,"25.036084,121.579135","25.049040,121.587550",1.6676003279486074,0.21623158552260044,0.00010415899129620928,0.21623158552260044
22,357,"25.048824,121.57845","25.034230,121.576360",1.6303290526920893,-0.2238801799649694,5.783141389543063e-05,0.2238801799649694
23,44,"25.055074,121.602798","25.05973,121.616187",1.4460949829243763,-0.2164066871899607,0.00010278882000695513,0.2164066871899607
23,201,"25.055074,121.602798","25.057164,121.597924",0.5435754772815061,0.20921803613850473,0.00017549169787405393,0.20921803613850473
23,343,"25.055074,121.602798","25.049040,121.587550",1.6775505471574903,0.21937158045559502,8.200989333354133e-05,0.21937158045559502
25,337,"25.04543,121.57205","25.053010,121.575920",0.9260358514496976,0.24669892361212112,8.835458496045229e-06,0.24669892361212112
26,343,"25.050142,121.592375","25.049040,121.587550",0.5019582782638475,-0.25357930202295265,4.831818795836994e-06,0.25357930202295265
29,56,"25.03164,121.52655","25.038954,121.522334",0.9151258420355594,0.20062105099930913,0.0003250682551728371,0.20062105099930913
29,111,"25.03164,121.52655","25.040184,121.543497",1.954712851699836,-0.22766563629163397,4.289392377206334e-05,0.22766563629163397
29,195,"25.03164,121.52655","25.035851 ,121.523987 ",0.5333839848660231,0.2794489922742748,4.2614266305073426e-07,0.2794489922742748
30,132,"25.017054,121.544352","25.01603085,121.5331757",1.1337764790601657,-0.29660757672922966,7.379724249404351e-08,0.29660757672922966
35,60,"25.059978,121.533302","25.064317,121.533487 ",0.4810098971837677,-0.20345261894086344,0.0002660748070654726,0.20345261894086344
37,107,"25.0337,121.528988","25.036402,121.509422",1.9971842673732496,-0.25691226158237135,3.5842813096187732e-06,0.25691226158237135
50,55,"25.062002,121.560186","25.049505,121.549408",1.7604422018678154,-0.21480306267266935,0.00011599554284262268,0.21480306267266935
50,384,"25.062002,121.560186","25.054910,121.544800",1.739936992556799,-0.23972804692697025,1.5999955027454272e-05,0.23972804692697025
54,306,"25.028798,121.538073","25.027781,121.521980",1.6281198858598938,0.22117792556171992,7.136066132763729e-05,0.22117792556171992
55,333,"25.049505,121.549408","25.047428,121.561182",1.2101915984367024,-0.2112030849704552,0.00015166340318762545,0.2112030849704552
56,288,"25.038954,121.522334","25.041928,121.524591",0.4005121626218385,0.27492565629442184,6.636646165773518e-07,0.27492565629442184
56,382,"25.038954,121.522334","25.035160,121.506390",1.663045772070254,0.23684767844911825,2.0344418044315887e-05,0.23684767844911825
60,145,"25.064317,121.533487 ","25.066688,121.516149",1.7689503397895971,0.21243246592597168,0.00013846358236715877,0.21243246592597168
62,89,"25.026827,121.520258","25.027323,121.516385",0.3947364881497633,-0.2049865390424549,0.00023844926369575708,0.2049865390424549
63,111,"25.037569,121.545632","25.040184,121.543497",0.3610172870320895,-0.20172493949033704,0.0003007525633848736,0.20172493949033704
64,89,"25.037773,121.517029","25.027323,121.516385",1.1594049196769738,-0.2220728878331845,6.658034004687273e-05,0.2220728878331845
64,186,"25.037773,121.517029","25.035414 ,121.514218 ",0.3856985440870145,0.2023691023728146,0.0002873579002296945,0.2023691023728146
64,288,"25.037773,121.517029","25.041928,121.524591",0.8911917004970475,0.22973002610028015,3.6366327660915006e-05,0.22973002610028015
76,145,"25.056387,121.527522","25.066688,121.516149",1.6183007829298717,0.24982752452837348,6.729443222212583e-06,0.24982752452837348
76,153,"25.056387,121.527522","25.059885,121.516299",1.1968883369172982,0.3055159117154365,2.834582354653383e-08,0.3055159117154365
84,89,"25.029705,121.502899","25.027323,121.516385",1.3864387614941267,0.22170988516395304,6.84817231993446e-05,0.22170988516395304
85,113,"25.033362,121.54911","25.037724,121.561178",1.3102644799234988,0.252686568332985,5.230569363962602e-06,0.252686568332985
89,321,"25.027323,121.516385","25.031334,121.505085",1.223958161553672,0.24283385952129435,1.2307406925642116e-05,0.24283385952129435
92,103,"25.046618,121.507169","25.033639,121.503028",1.4972320888261132,0.20845001040020936,0.00018561767446806713,0.20845001040020936
94,385,"24.993254,121.541059","24.985600,121.545310",0.9502888230990864,-0.23034085274220042,3.46225801290121e-05,0.23034085274220042
95,257,"25.023393,121.497679","25.023316,121.492637",0.5089655767468927,0.20325830402690823,0.0002697800560607922,0.20325830402690823
96,217,"25.061567,121.566558","25.062645,121.574267",0.786945546198085,-0.20718028049386356,0.00020356554366479662,0.20718028049386356
97,152,"25.082825,121.524721","25.08521,121.519175",0.618729650759839,-0.20435106493645488,0.00024955207125504705,0.20435106493645488
97,397,"25.082825,121.524721","25.079603,121.523700",0.3714796817867296,-0.2854713419563187,2.3336244793863527e-07,0.2854713419563187
107,219,"25.036402,121.509422","25.031147,121.490740",1.9732504040355456,0.21240527860691677,0.00013874346590083417,0.21240527860691677
107,285,"25.036402,121.509422","25.025966,121.513770",1.2365152918445652,-0.2284444331344096,4.03111552054424e-05,0.2284444331344096
107,345,"25.036402,121.509422","25.038060,121.519430",1.0265669139386815,0.21145380547520737,0.00014887928851566254,0.21145380547520737
108,152,"25.073306,121.515843","25.08521,121.519175",1.3608255755057657,0.28380368052407273,2.761009802230736e-07,0.28380368052407273
108,331,"25.073306,121.515843","25.068590,121.519740",0.6538346277292547,-0.21682082904910724,9.961523451193644e-05,0.21682082904910724
108,397,"25.073306,121.515843","25.079603,121.523700",1.0558876401232855,0.21200961850904942,0.00014287713491349834,0.21200961850904942
110,119,"25.086376,121.560888","25.08418,121.555116",0.6310520783956944,-0.3339131304702008,1.0769614601685501e-09,0.3339131304702008
112,117,"25.137456,121.503124","25.132581,121.498618",0.7057574174911837,-0.23732187867374085,1.9559562261810556e-05,0.23732187867374085
113,248,"25.037724,121.561178","25.027123,121.555566",1.303760055355547,0.20649493974904848,0.0002139147382945977,0.20649493974904848
116,263,"25.096122,121.530215","25.097103,121.542153",1.2090914484396234,-0.20811726102616845,0.0001901723154176022,0.20811726102616845
117,118,"25.132581,121.498618","25.136929,121.499152",0.4846500292361866,-0.252693086294083,5.22754754783194e-06,0.252693086294083
117,137,"25.132581,121.498618","25.137976,121.493066",0.8189048746458374,-0.20155903630158536,0.00030429537405545745,0.20155903630158536
117,164,"25.132581,121.498618","25.126286,121.500801",0.7312512413191808,0.20390567028266673,0.0002576194992065253,0.20390567028266673
117,367,"25.132581,121.498618","25.135970,121.497019",0.408578826043359,-0.3278087815333054,2.239073486533279e-09,0.3278087815333054
117,390,"25.132581,121.498618","25.139937,121.489594",1.221489302685425,-0.2330212843244498,2.7863316262076238e-05,0.2330212843244498
118,164,"25.136929,121.499152","25.126286,121.500801",1.1906460958133072,-0.21157337862578693,0.00014756842621615096,0.21157337862578693
118,223,"25.136929,121.499152","25.127400,121.507267",1.3356279761099683,0.20099347298457915,0.0003166672264546247,0.20099347298457915
118,367,"25.136929,121.499152","25.135970,121.497019",0.2398924444811317,0.2130943018188174,0.00013181131258539075,0.2130943018188174
119,210,"25.08418,121.555116","25.079766,121.558135",0.5760548524856896,-0.276279538073982,5.81733462625701e-07,0.276279538073982
120,317,"25.035479,121.50026","25.026823,121.491675",1.2923296139999614,-0.226484589101645,4.711060870825766e-05,0.226484589101645
122,131,"25.079666,121.57584","25.079322,121.568688",0.7225353706513986,-0.25748378952915246,3.403921583952447e-06,0.25748378952915246
122,155,"25.079666,121.57584","25.076193,121.57505",0.3928870917469131,-0.22188126769334682,6.757774914240545e-05,0.22188126769334682
131,230,"25.079322,121.568688","25.075366,121.580811",1.2991888444465791,-0.28948890315121845,1.5492509597633207e-07,0.28948890315121845
131,274,"25.079322,121.568688","25.066997,121.579833",1.7687110470656644,-0.2646603527012128,1.7615607088000681e-06,0.2646603527012128
131,381,"25.079322,121.568688","25.068530,121.578125",1.5282802921848844,0.2678234509681791,1.3095601990034613e-06,0.2678234509681791
133,149,"25.111839,121.525888","25.116665,121.509621",1.725535524506995,0.20426618355989334,0.000251071102179127,0.20426618355989334
133,253,"25.111839,121.525888","25.101423,121.527990",1.173143802045015,0.20112415653173052,0.00031376755020655686,0.20112415653173052
133,273,"25.111839,121.525888","25.110437,121.535954",1.0270577792041566,0.2528038884990514,5.1764319401170036e-06,0.2528038884990514
133,284,"25.111839,121.525888","25.096166,121.522096",1.7777990098753442,0.26013365839629937,2.6750091587577233e-06,0.26013365839629937
136,149,"25.117457,121.51668","25.116665,121.509621",0.7173155078038502,-0.211808734437405,0.00014501979040384565,0.211808734437405
138,239,"25.040558,121.575372","25.056641,121.583403",1.9572339274755333,0.20587879070993004,0.00022363684147718344,0.20587879070993004
145,153,"25.066688,121.516149","25.059885,121.516299",0.7537463241778468,0.2153540541998449,0.00011128791569616604,0.2153540541998449
145,177,"25.066688,121.516149","25.082538 ,121.507495 ",1.96087060482208,0.22794874533929482,4.193746899219542e-05,0.22794874533929482
146,154,"25.092546,121.526556","25.093396,121.519867",0.6812841653450886,-0.20695810575365514,0.00020686814529891808,0.20695810575365514
146,167,"25.092546,121.526556","25.095714,121.518046",0.9273916724325362,-0.24322240429583736,1.1907040449107096e-05,0.24322240429583736
146,324,"25.092546,121.526556","25.082210,121.510800",1.95889425890106,-0.25094799176788446,6.098868515457402e-06,0.25094799176788446
147,224,"25.089175,121.521814","25.088243,121.510535",1.14247155828599,0.2136868681106604,0.00012611073266303118,0.2136868681106604
148,342,"25.110331,121.518316","25.107790,121.514680",0.4622993356548303,-0.27931149135044253,4.319706382472043e-07,0.27931149135044253
149,342,"25.116665,121.509621","25.107790,121.514680",1.107646040538507,0.2781736367944049,4.832247543358589e-07,0.2781736367944049
152,177,"25.08521,121.519175","25.082538 ,121.507495 ",1.214902928337514,0.2567656633468996,3.631992913211741e-06,0.2567656633468996
152,184,"25.08521,121.519175","25.084759 ,121.537892 ",1.888841904092056,0.25420633745548255,4.569253550355145e-06,0.25420633745548255
152,372,"25.08521,121.519175","25.068250,121.513590",1.9614024092679887,0.20163353873896744,0.00030269961363006497,0.20163353873896744
152,397,"25.08521,121.519175","25.079603,121.523700",0.7708209815377608,0.21003812108995296,0.00016525149141609252,0.21003812108995296
157,230,"25.082703,121.571467","25.075366,121.580811",1.244666409317052,0.2030044905918673,0.0002746923565808296,0.2030044905918673
157,274,"25.082703,121.571467","25.066997,121.579833",1.9337420394058744,0.22904689437239167,3.841468985361234e-05,0.22904689437239167
159,286,"25.082866,121.566695","25.086372,121.565713",0.4008096316065731,-0.4589954994692073,6.3573635571252645e-18,0.4589954994692073
163,225,"25.018097,121.559279","25.018600,121.554839",0.4516023068856978,0.23056424519190244,3.400482411025644e-05,0.23056424519190244
163,276,"25.018097,121.559279","25.028679,121.559320",1.1722096715820185,0.27649659938872223,5.695356083474599e-07,0.27649659938872223
164,223,"25.126286,121.500801","25.127400,121.507267",0.6636457170458728,-0.3616691639995158,3.136540321226707e-11,0.3616691639995158
164,390,"25.126286,121.500801","25.139937,121.489594",1.8878283879808495,-0.21219782487170327,0.0001408966555823953,0.21219782487170327
166,335,"24.980602,121.556177","24.986301,121.567855",1.3374218436256489,-0.20005895378312505,0.00033814184453729895,0.20005895378312505
168,345,"25.02288,121.522855","25.038060,121.519430",1.7167007017776987,-0.2536725874510033,4.791865671704984e-06,0.2536725874510033
177,178,"25.082538 ,121.507495 ","25.078908 ,121.510306 ",0.4920496631385693,0.2642617908676203,1.828127751414075e-06,0.2642617908676203
177,224,"25.082538 ,121.507495 ","25.088243,121.510535",0.7024470246594482,0.21745111187665395,9.496150753222985e-05,0.21745111187665395
178,243,"25.078908 ,121.510306 ","25.090202,121.506219",1.317270157488662,0.20864417771577243,0.0001830072901228406,0.20864417771577243
179,379,"25.041355,121.59073","25.042619,121.580762",1.015626228242039,0.208354951065923,0.00018690831484758106,0.208354951065923
184,397,"25.084759 ,121.537892 ","25.079603,121.523700",1.541448174373132,0.20107935517042225,0.00031475882836022,0.20107935517042225
186,208,"25.035414 ,121.514218 ","25.035555,121.495342",1.9050502897546304,-0.2456467185385903,9.674945050975021e-06,0.2456467185385903
186,249,"25.035414 ,121.514218 ","25.037706,121.506624",0.8073487737820844,-0.2130846986448797,0.00013190565592483032,0.2130846986448797
186,327,"25.035414 ,121.514218 ","25.031580,121.514640",0.4268352458097059,0.2438350822059244,1.1300754519184594e-05,0.2438350822059244
208,257,"25.035555,121.495342","25.023316,121.492637",1.382968739792653,0.2038423571785136,0.0002587858495500124,0.2038423571785136
208,317,"25.035555,121.495342","25.026823,121.491675",1.0356562275504324,0.21359869546998092,0.0001269440651087586,0.21359869546998092
209,265,"25.137837,121.486071","25.135394,121.478000",0.8576788655325283,-0.2840118590438778,2.7038119122320186e-07,0.2840118590438778
209,367,"25.137837,121.486071","25.135970,121.497019",1.1231791206743786,-0.26383948313602446,1.901282982675648e-06,0.26383948313602446
209,390,"25.137837,121.486071","25.139937,121.489594",0.4246356921332222,-0.42215164821541157,3.940342771907827e-15,0.42215164821541157
217,230,"25.062645,121.574267","25.075366,121.580811",1.5561635750454463,-0.22965333685827893,3.659102838697405e-05,0.22965333685827893
